ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/03,TX,202609  ,46169,46472,45714,45837,-328,-0.71%,53082,45819,103513,45825,45834,49651,24962,,,,
2026/09/03,TX,202609  ,46200,46407,45686,46336,171,0.37%,34200,-,-,46312,46337,49651,24962,,絃,,
2026/09/03,TX,202610  ,46374,46651,45916,45997,-368,-0.79%,572,46012,2142,46007,46018,47481,39852,,,,
2026/09/03,TX,202610  ,46440,46580,45900,46503,138,0.30%,221,-,-,46502,46533,47481,39852,,絃,,
2026/09/03,TX,202611  ,46600,46811,46117,46117,-484,-1.04%,62,46202,81,46195,46209,47630,44435,,,,
2026/09/03,TX,202611  ,46520,46703,46188,46703,102,0.22%,20,-,-,46681,46733,47630,44435,,絃,,
2026/09/03,TX,202612  ,46747,46964,46350,46350,-365,-0.78%,12,46338,452,46328,46349,50228,27382,,,,
2026/09/03,TX,202612  ,46770,46888,46355,46855,140,0.30%,16,-,-,46810,46866,50228,27382,,絃,,
2026/09/03,TX,202703  ,47066,47179,47066,47179,-68,-0.14%,3,46840,122,46830,46851,50802,32400,,,,
2026/09/03,TX,202703  ,47287,47287,46779,47263,16,0.03%,15,-,-,47322,47372,50802,32400,,絃,,
2026/09/03,TX,202706  ,47772,47772,47408,47408,-305,-0.64%,3,47303,66,47287,47319,51411,41461,,,,
2026/09/03,TX,202706  ,47738,47859,47230,47859,146,0.31%,30,-,-,47752,47842,51411,41461,,絃,,
2026/09/04,TX,202609  ,46406,46756,46057,46704,885,1.93%,50177,46709,104112,46704,46707,49651,24962,,,,
2026/09/04,TX,202609  ,45902,46559,45726,46487,668,1.46%,38370,-,-,46477,46488,49651,24962,,絃,,
2026/09/04,TX,202610  ,46711,46920,46233,46886,874,1.90%,650,46886,2581,46872,46879,47481,39852,,,,
2026/09/04,TX,202610  ,46082,46724,45930,46650,638,1.39%,308,-,-,46646,46662,47481,39852,,絃,,
2026/09/04,TX,202611  ,46740,47069,46552,47069,867,1.88%,42,47032,103,47027,47037,47630,44435,,,,
2026/09/04,TX,202611  ,46098,46828,46098,46828,626,1.35%,19,-,-,46806,46838,47630,44435,,絃,,
2026/09/04,TX,202612  ,47088,47200,46655,47200,862,1.86%,6,47153,455,47147,47159,50228,27382,,,,
2026/09/04,TX,202612  ,46435,46958,46300,46945,607,1.31%,15,-,-,46916,46973,50228,27382,,絃,,
2026/09/04,TX,202703  ,47600,47639,47248,47639,799,1.71%,5,47626,120,47618,47634,50802,32400,,,,
2026/09/04,TX,202703  ,46950,47168,46800,47168,328,0.70%,10,-,-,47337,47488,50802,32400,,絃,,
2026/09/04,TX,202706  ,47999,48158,47652,48158,855,1.81%,6,48140,66,48127,48153,51411,41461,,,,
2026/09/04,TX,202706  ,47388,47965,47388,47965,662,1.40%,7,-,-,47897,47973,51411,41461,,絃,,
2026/09/07,TX,202609  ,47280,47572,47093,47470,761,1.63%,43189,47462,103693,47470,47476,49651,24962,,,,
2026/09/07,TX,202609  ,46622,47236,46560,47182,473,1.01%,33845,-,-,47178,47185,49651,24962,,絃,,
