ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/06,TX,202608  ,44177,44494,43843,44280,-257,-0.58%,55986,44258,106827,44272,44284,49470,39442,,,,
2026/08/06,TX,202608  ,44580,44644,44098,44278,-259,-0.58%,44860,-,-,44278,44288,49470,39442,,絃,,
2026/08/06,TX,202609  ,44427,44538,43950,44300,-326,-0.73%,908,44324,7988,44316,44333,49651,24962,,,,
2026/08/06,TX,202609  ,44665,44728,44250,44374,-252,-0.56%,528,-,-,44381,44396,49651,24962,,絃,,
2026/08/06,TX,202610  ,44502,44538,44176,44382,-401,-0.90%,44,44440,261,44425,44455,46770,39852,,,,
2026/08/06,TX,202610  ,44601,44749,44370,44612,-171,-0.38%,22,-,-,44529,44552,46770,39852,,絃,,
2026/08/06,TX,202612  ,44700,44778,44620,44688,-361,-0.80%,18,44688,387,44682,44702,50228,27382,,,,
2026/08/06,TX,202612  ,44845,45000,44809,44900,-149,-0.33%,4,-,-,44798,44826,50228,27382,,絃,,
2026/08/06,TX,202703  ,45200,45200,45172,45180,-407,-0.89%,3,45194,121,45125,45264,50802,32400,,,,
2026/08/06,TX,202703  ,45454,45570,45354,45441,-146,-0.32%,6,-,-,45328,45359,50802,32400,,絃,,
2026/08/06,TX,202706  ,46220,-,-,46220,0,0.00%,1,45832,63,45788,45877,51411,41461,,,,
2026/08/06,TX,202706  ,46217,46217,46099,46199,-21,-0.05%,3,-,-,45968,46018,51411,41461,,絃,,
2026/08/07,TX,202608  ,44588,44744,43923,44349,91,0.21%,56058,44297,102679,44347,44353,49470,39442,,,,
2026/08/07,TX,202608  ,44129,44873,43800,44543,285,0.64%,48375,-,-,44529,44543,49470,39442,,絃,,
2026/08/07,TX,202609  ,44597,44731,44036,44438,114,0.26%,2392,44419,9822,44447,44457,49651,24962,,,,
2026/08/07,TX,202609  ,44175,44888,43863,44515,191,0.43%,393,-,-,44567,44590,49651,24962,,絃,,
2026/08/07,TX,202610  ,44592,44817,44133,44448,8,0.02%,71,44525,294,44517,44534,46770,39852,,,,
2026/08/07,TX,202610  ,44523,44960,43987,44822,382,0.86%,51,-,-,44652,44685,46770,39852,,絃,,
2026/08/07,TX,202612  ,44900,44900,44574,44574,-114,-0.26%,12,44734,391,44697,44771,50228,27382,,,,
2026/08/07,TX,202612  ,44650,44800,44650,44800,112,0.25%,5,-,-,44750,44929,50228,27382,,絃,,
2026/08/07,TX,202703  ,-,-,-,-,-,-,0,45233,121,44848,45296,50802,32400,,,,
2026/08/07,TX,202703  ,45194,-,-,45194,0,0.00%,2,-,-,45030,45493,50802,32400,,絃,,
2026/08/07,TX,202706  ,45602,45602,45602,45602,-230,-0.50%,2,45666,66,45440,45893,51411,41461,,,,
2026/08/07,TX,202706  ,45832,-,-,45832,0,0.00%,2,-,-,45631,46086,51411,41461,,絃,,
2026/08/10,TX,202608  ,44985,45219,44668,44987,690,1.56%,49606,44990,101913,44987,44998,49470,39442,,,,
2026/08/10,TX,202608  ,44362,45246,44362,45033,736,1.66%,41042,-,-,45031,45039,49470,39442,,絃,,
2026/08/10,TX,202609  ,45048,45320,44790,45113,694,1.56%,3078,45113,12158,45103,45118,49651,24962,,,,
2026/08/10,TX,202609  ,44487,45309,44487,45128,709,1.60%,428,-,-,45120,45129,49651,24962,,絃,,
2026/08/10,TX,202610  ,45138,45313,44906,45210,685,1.54%,27,45210,304,45205,45222,46770,39852,,,,
2026/08/10,TX,202610  ,45340,45340,44688,45068,543,1.22%,10,-,-,45191,45210,46770,39852,,絃,,
2026/08/10,TX,202612  ,45300,45555,45100,45410,676,1.51%,31,45410,388,45397,45415,50228,27382,,,,
2026/08/10,TX,202612  ,45100,45290,45100,45170,436,0.97%,4,-,-,45376,45449,50228,27382,,絃,,
2026/08/10,TX,202703  ,46014,46014,45854,45854,621,1.37%,4,45888,124,45877,45899,50802,32400,,,,
2026/08/10,TX,202703  ,46000,46100,45841,45841,608,1.34%,3,-,-,45633,45949,50802,32400,,絃,,
2026/08/10,TX,202706  ,46672,46672,46470,46470,804,1.76%,3,46517,68,46501,46534,51411,41461,,,,
2026/08/10,TX,202706  ,46412,46499,46402,46402,736,1.61%,4,-,-,46411,46589,51411,41461,,絃,,
2026/08/06,TX,202608/202609    ,103,103,36,45,-,-,711,-,-,44,50,273,36,,,170,
2026/08/06,TX,202608/202609    ,90,110,88,105,-,-,118,-,-,103,108,273,88,,絃,272,
2026/08/06,TX,202608/202610    ,240,244,160,160,-,-,19,-,-,153,171,572,160,,,22,
2026/08/06,TX,202608/202610    ,-,-,-,-,-,-,0,-,-,251,264,572,311,,絃,17,
2026/08/06,TX,202608/202612    ,500,500,490,490,-,-,2,-,-,410,418,1070,490,,,4,
2026/08/06,TX,202608/202612    ,-,-,-,-,-,-,0,-,-,520,538,1070,577,,絃,4,
2026/08/06,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,853,980,1995,1142,,,3,
2026/08/06,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,1050,1071,1995,1142,,絃,5,
2026/08/06,TX,202608/202706    ,1601,1601,1601,1601,-,-,1,-,-,1516,1593,2736,1601,,,0,
2026/08/06,TX,202608/202706    ,-,-,-,-,-,-,0,-,-,1690,1730,2736,1769,,絃,2,
2026/08/06,TX,202610/202612    ,259,259,259,259,-,-,2,-,-,223,239,493,259,,,3,
2026/08/06,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,-,618,602,,絃,2,
2026/08/07,TX,202608/202609    ,41,116,40,102,-,-,924,-,-,100,104,273,36,,,394,
2026/08/07,TX,202608/202609    ,46,58,36,36,-,-,105,-,-,38,47,273,36,,絃,207,
2026/08/07,TX,202608/202610    ,164,180,164,180,-,-,4,-,-,135,181,572,136,,,37,
2026/08/07,TX,202608/202610    ,163,163,136,136,-,-,2,-,-,123,142,572,136,,絃,34,
2026/08/07,TX,202608/202612    ,-,-,-,-,-,-,0,-,-,189,418,1070,373,,,1,
2026/08/07,TX,202608/202612    ,373,373,373,373,-,-,1,-,-,101,386,1070,373,,絃,0,
2026/08/07,TX,202608/202703    ,916,916,916,916,-,-,1,-,-,501,950,1995,916,,絃,0,
2026/08/07,TX,202608/202706    ,1536,1536,1536,1536,-,-,1,-,-,1093,1540,2736,1536,,,1,
2026/08/07,TX,202608/202706    ,1564,1564,1564,1564,-,-,1,-,-,1102,1543,2736,1564,,絃,0,
2026/08/07,TX,202609/202610    ,71,71,71,71,-,-,6,-,-,70,-,238,71,,,19,
2026/08/07,TX,202609/202610    ,-,-,-,-,-,-,0,-,-,92,-,238,236,,絃,6,
2026/08/07,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,-,228,493,229,,,9,
2026/08/07,TX,202610/202612    ,229,229,229,229,-,-,1,-,-,-,238,493,229,,絃,0,
2026/08/07,TX,202703/202706    ,638,638,638,638,-,-,1,-,-,-,638,638,602,,絃,0,
2026/08/10,TX,202608/202609    ,104,120,90,120,-,-,1338,-,-,116,120,273,36,,,639,
2026/08/10,TX,202608/202609    ,97,97,73,89,-,-,13,-,-,84,90,273,36,,絃,305,
2026/08/10,TX,202608/202610    ,169,196,169,196,-,-,14,-,-,218,224,572,136,,,12,
2026/08/10,TX,202608/202610    ,-,-,-,-,-,-,0,-,-,156,171,572,136,,絃,10,
2026/08/10,TX,202608/202612    ,379,392,379,392,-,-,10,-,-,410,417,1070,360,,,16,
2026/08/10,TX,202608/202612    ,360,360,360,360,-,-,1,-,-,345,410,1070,360,,絃,2,
2026/08/10,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,890,901,1995,916,,,2,
2026/08/10,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,602,910,1995,916,,絃,1,
2026/08/10,TX,202608/202706    ,-,-,-,-,-,-,0,-,-,1514,1536,2736,1495,,,3,
2026/08/10,TX,202608/202706    ,1495,1495,1495,1495,-,-,1,-,-,1380,1550,2736,1495,,絃,3,
2026/08/10,TX,202609/202610    ,-,-,-,-,-,-,0,-,-,95,-,238,71,,,6,
2026/08/10,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,668,638,602,,,1,
2026/08/10,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,669,638,602,,絃,1,
