ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/14,TX,202609  ,45589,46018,45302,45780,-407,-0.88%,94885,45777,47416,45774,45780,49651,24962,,,,
2026/09/14,TX,202609  ,46306,46663,46041,46588,401,0.87%,28667,-,-,46552,46589,49651,24962,,絃,,
2026/09/14,TX,202610  ,45908,46142,45444,45902,-470,-1.01%,50428,45903,59870,45898,45909,47780,39852,,,,
2026/09/14,TX,202610  ,46490,46812,46224,46743,371,0.80%,1148,-,-,46707,46744,47780,39852,,絃,,
2026/09/14,TX,202611  ,45763,46243,45624,46032,-511,-1.10%,84,46032,390,46037,46056,47932,44435,,,,
2026/09/14,TX,202611  ,46616,46900,46616,46900,357,0.77%,16,-,-,46859,46908,47932,44435,,絃,,
2026/09/14,TX,202612  ,45967,46382,45786,46200,-490,-1.05%,35,46200,534,46173,46195,50228,27382,,,,
2026/09/14,TX,202612  ,46827,47100,46827,46970,280,0.60%,19,-,-,46993,47051,50228,27382,,絃,,
2026/09/14,TX,202703  ,46342,46801,46342,46801,-372,-0.79%,5,46690,125,46676,46704,50802,32400,,,,
2026/09/14,TX,202703  ,47300,47558,47230,47558,385,0.82%,6,-,-,47477,47558,50802,32400,,絃,,
2026/09/14,TX,202706  ,46880,47098,46800,47098,-531,-1.11%,7,47148,74,47129,47167,51411,41461,,,,
2026/09/14,TX,202706  ,47815,48029,47815,48000,371,0.78%,5,-,-,47947,48034,51411,41461,,絃,,
2026/09/15,TX,202609  ,45777,45964,45512,45607,-170,-0.37%,75529,45592,18797,45602,45607,49651,24962,,,,
2026/09/15,TX,202609  ,45774,45844,45361,45556,-221,-0.48%,28527,-,-,45555,45579,49651,24962,,絃,,
2026/09/15,TX,202610  ,45898,46039,45644,45740,-163,-0.36%,47926,45727,89861,45736,45744,47780,39852,,,,
2026/09/15,TX,202610  ,45900,45965,45501,45685,-218,-0.47%,3518,-,-,45680,45715,47780,39852,,絃,,
