ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/27,TX,202609  ,46175,46517,46006,46078,75,0.16%,50701,46064,104881,46077,46088,49651,24962,,,,
2026/08/27,TX,202609  ,46002,46142,45766,45993,-10,-0.02%,26057,-,-,45983,45993,49651,24962,,絃,,
2026/08/27,TX,202610  ,46303,46655,46193,46258,112,0.24%,271,46246,779,46250,46268,46789,39852,,,,
2026/08/27,TX,202610  ,46140,46258,45923,46111,-35,-0.08%,131,-,-,46131,46145,46789,39852,,絃,,
2026/08/27,TX,202611  ,46566,46770,46375,46375,96,0.21%,18,46397,47,46389,46405,46770,44435,,,,
2026/08/27,TX,202611  ,46326,46359,46100,46203,-76,-0.16%,11,-,-,46254,46271,46359,44435,,絃,,
2026/08/27,TX,202612  ,46488,46866,46474,46495,114,0.25%,20,46495,399,46487,46507,50228,27382,,,,
2026/08/27,TX,202612  ,46435,46435,46172,46200,-181,-0.39%,16,-,-,46355,46378,50228,27382,,絃,,
2026/08/27,TX,202703  ,47034,47150,46906,46906,112,0.24%,9,46906,125,46910,46932,50802,32400,,,,
2026/08/27,TX,202703  ,46750,46750,46677,46677,-117,-0.25%,2,-,-,46753,46803,50802,32400,,絃,,
2026/08/27,TX,202706  ,47828,47828,47562,47562,200,0.42%,2,47435,77,47418,47452,51411,41461,,,,
2026/08/27,TX,202706  ,-,-,-,-,-,-,0,-,-,47318,47363,51411,41461,,絃,,
2026/08/28,TX,202609  ,46366,46580,46215,46357,293,0.64%,41611,46357,105613,46357,46363,49651,24962,,,,
2026/08/28,TX,202609  ,46132,46549,46036,46388,324,0.70%,29574,-,-,46381,46384,49651,24962,,絃,,
2026/08/28,TX,202610  ,46552,46735,46401,46502,256,0.55%,474,46502,975,46501,46508,46789,39852,,,,
2026/08/28,TX,202610  ,46297,46700,46250,46550,304,0.66%,164,-,-,46549,46562,46789,39852,,絃,,
2026/08/28,TX,202611  ,46820,46850,46587,46637,240,0.52%,26,46667,42,46650,46684,46850,44435,,,,
2026/08/28,TX,202611  ,46443,46789,46443,46600,203,0.44%,36,-,-,46696,46725,46789,44435,,絃,,
2026/08/28,TX,202612  ,46790,46850,46710,46780,285,0.61%,19,46780,392,46753,46788,50228,27382,,,,
2026/08/28,TX,202612  ,46706,46899,46604,46899,404,0.87%,10,-,-,46794,46834,50228,27382,,絃,,
2026/08/28,TX,202703  ,47353,47398,47100,47196,290,0.62%,9,47196,125,47183,47206,50802,32400,,,,
2026/08/28,TX,202703  ,46974,47354,46974,47200,294,0.63%,9,-,-,47206,47259,50802,32400,,絃,,
2026/08/28,TX,202706  ,47816,47816,47816,47816,381,0.80%,1,47711,77,47696,47727,51411,41461,,,,
2026/08/28,TX,202706  ,-,-,-,-,-,-,0,-,-,47734,47789,51411,41461,,絃,,
2026/08/31,TX,202609  ,45800,46060,45415,45983,-374,-0.81%,53336,45977,104409,45985,45987,49651,24962,,,,
2026/08/31,TX,202609  ,46438,46613,45826,45900,-457,-0.99%,35867,-,-,45898,45900,49651,24962,,絃,,
2026/08/31,TX,202610  ,45987,46200,45588,46116,-386,-0.83%,411,46116,1310,46139,46145,46789,39852,,,,
2026/08/31,TX,202610  ,46603,46723,45979,46049,-453,-0.97%,560,-,-,46044,46047,46789,39852,,絃,,
2026/08/31,TX,202611  ,46046,46228,45750,46225,-442,-0.95%,25,46304,54,46300,46308,46850,44435,,,,
2026/08/31,TX,202611  ,46594,46594,46351,46368,-299,-0.64%,9,-,-,46203,46229,46850,44435,,絃,,
2026/08/31,TX,202612  ,46150,46472,45946,46386,-394,-0.84%,31,46410,406,46405,46416,50228,27382,,,,
2026/08/31,TX,202612  ,46878,46901,46300,46325,-455,-0.97%,12,-,-,46310,46336,50228,27382,,絃,,
2026/08/31,TX,202703  ,46640,46888,46585,46888,-308,-0.65%,3,46850,124,46843,46857,50802,32400,,,,
2026/08/31,TX,202703  ,47250,47383,46823,46823,-373,-0.79%,12,-,-,46750,46800,50802,32400,,絃,,
2026/08/31,TX,202706  ,47144,47244,46847,47244,-467,-0.98%,4,47354,77,47343,47366,51411,41461,,,,
2026/08/31,TX,202706  ,47823,47850,47356,47356,-355,-0.74%,7,-,-,47250,47290,51411,41461,,絃,,
2026/08/27,TX,202609/202610    ,147,175,147,175,-,-,41,-,-,173,180,238,71,,,161,
2026/08/27,TX,202609/202610    ,-,-,-,-,-,-,0,-,-,148,152,238,71,,絃,83,
2026/08/27,TX,202609/202611    ,305,305,305,305,-,-,1,-,-,312,320,305,305,,,15,
2026/08/27,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,271,278,-,-,,絃,10,
2026/08/27,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,410,419,861,104,,,17,
2026/08/27,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,372,385,861,104,,絃,15,
2026/08/27,TX,202609/202703    ,835,835,835,835,-,-,1,-,-,833,844,855,787,,,8,
2026/08/27,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,770,810,855,787,,絃,2,
2026/08/27,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1341,1364,1427,1347,,,2,
2026/08/27,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,123,-,-,-,,絃,4,
2026/08/27,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,-,-,843,329,,絃,1,
