交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/04/09,TX,202604  ,35032,35100,34745,34932,-84,-0.24%,53298,34924,72691,34930,34936,35968,31227,,一般,,
2026/04/09,TX,202604  ,35000,35348,34935,35208,192,0.55%,57379,-,-,35207,35217,35968,31227,,盤後,,
2026/04/09,TX,202605  ,35220,35220,34888,35055,-76,-0.22%,1718,35059,2672,35059,35068,35962,31357,,一般,,
2026/04/09,TX,202605  ,35123,35454,35063,35305,174,0.50%,998,-,-,35321,35337,35962,31357,,盤後,,
2026/04/09,TX,202606  ,35200,35200,34901,35109,-21,-0.06%,37,35082,1139,35077,35087,36100,20819,,一般,,
2026/04/09,TX,202606  ,35213,35411,35095,35337,207,0.59%,26,-,-,35342,35360,36100,20819,,盤後,,
2026/04/09,TX,202609  ,35041,35041,34857,35000,-41,-0.12%,7,34994,439,34990,34999,35995,24962,,一般,,
2026/04/09,TX,202609  ,35219,35336,35025,35200,159,0.45%,24,-,-,35257,35273,35995,24962,,盤後,,
2026/04/09,TX,202612  ,35213,35213,34950,34999,-144,-0.41%,19,35090,236,35086,35095,36263,27382,,一般,,
2026/04/09,TX,202612  ,35309,35450,35135,35320,177,0.50%,49,-,-,35354,35373,36263,27382,,盤後,,
2026/04/09,TX,202703  ,35250,35250,35250,35250,-125,-0.35%,1,35348,63,35320,35376,35426,32400,,一般,,
2026/04/09,TX,202703  ,35375,35375,35375,35375,0,0.00%,1,-,-,35557,35642,35426,32400,,盤後,,
2026/04/10,TX,202604  ,35249,35580,35215,35567,643,1.84%,55415,35569,71146,35567,35571,35968,31227,,一般,,
2026/04/10,TX,202604  ,34922,35289,34765,35222,298,0.85%,47030,-,-,35216,35226,35968,31227,,盤後,,
2026/04/10,TX,202605  ,35359,35711,35347,35697,638,1.82%,3512,35703,4616,35697,35704,35962,31357,,一般,,
2026/04/10,TX,202605  ,35063,35408,34899,35345,286,0.82%,1038,-,-,35341,35356,35962,31357,,盤後,,
2026/04/10,TX,202606  ,35470,35728,35470,35710,628,1.79%,89,35727,1109,35723,35731,36100,20819,,一般,,
2026/04/10,TX,202606  ,35051,35345,34930,35345,263,0.75%,53,-,-,35358,35376,36100,20819,,盤後,,
2026/04/10,TX,202609  ,35378,35604,35376,35600,606,1.73%,15,35630,438,35626,35634,35995,24962,,一般,,
2026/04/10,TX,202609  ,34850,35250,34850,35247,253,0.72%,37,-,-,35265,35282,35995,24962,,盤後,,
2026/04/10,TX,202612  ,35486,35733,35486,35721,631,1.80%,20,35721,235,35723,35733,36263,27382,,一般,,
2026/04/10,TX,202612  ,34988,35350,34926,35350,260,0.74%,30,-,-,35364,35381,36263,27382,,盤後,,
2026/04/10,TX,202703  ,35950,35950,35950,35950,602,1.70%,1,35984,62,35958,36011,35950,32400,,一般,,
2026/04/10,TX,202703  ,35519,35519,35500,35511,163,0.46%,3,-,-,35606,35666,35519,32400,,盤後,,
2026/04/13,TX,202604  ,35280,35652,35225,35457,-112,-0.31%,83511,35460,38421,35455,35458,35968,31227,,一般,,
2026/04/13,TX,202604  ,35521,35748,35475,35589,20,0.06%,38073,-,-,35588,35594,35968,31227,,盤後,,
2026/04/13,TX,202605  ,35442,35852,35377,35652,-51,-0.14%,45473,35650,39146,35642,35652,35962,31357,,一般,,
2026/04/13,TX,202605  ,35656,35884,35605,35730,27,0.08%,1505,-,-,35730,35740,35962,31357,,盤後,,
2026/04/13,TX,202606  ,35471,35870,35467,35681,-46,-0.13%,449,35693,1447,35683,35701,36100,20819,,一般,,
2026/04/13,TX,202606  ,35715,35862,35650,35772,45,0.13%,43,-,-,35762,35783,36100,20819,,盤後,,
2026/04/13,TX,202609  ,35346,35737,35346,35598,-32,-0.09%,53,35598,457,35599,35624,35995,24962,,一般,,
2026/04/13,TX,202609  ,35580,35791,35568,35733,103,0.29%,27,-,-,35653,35689,35995,24962,,盤後,,
2026/04/13,TX,202612  ,35408,35750,35408,35702,-19,-0.05%,10,35702,241,35683,35721,36263,27382,,一般,,
2026/04/13,TX,202612  ,35689,35880,35675,35750,29,0.08%,16,-,-,35747,35794,36263,27382,,盤後,,
2026/04/13,TX,202703  ,-,-,-,-,-,-,0,35937,62,35897,35978,35950,32400,,一般,,
2026/04/13,TX,202703  ,-,-,-,-,-,-,0,-,-,35993,36074,35950,32400,,盤後,,
2026/04/14,TX,202604  ,36060,36430,35990,36381,921,2.60%,71746,36377,16844,36370,36380,36430,31227,,一般,,
2026/04/14,TX,202604  ,35500,36037,35455,36027,567,1.60%,33269,-,-,36019,36027,36037,31227,,盤後,,
2026/04/14,TX,202605  ,36267,36664,36209,36639,989,2.77%,40815,36649,64024,36636,36645,36664,31357,,一般,,
2026/04/14,TX,202605  ,35652,36228,35650,36215,565,1.58%,4367,-,-,36207,36223,36228,31357,,盤後,,
2026/04/14,TX,202606  ,36289,36701,36255,36692,999,2.80%,732,36692,1097,36694,36706,36701,20819,,一般,,
2026/04/14,TX,202606  ,35738,36248,35700,36248,555,1.55%,83,-,-,36247,36262,36248,20819,,盤後,,
2026/04/14,TX,202609  ,36184,36662,36184,36662,1064,2.99%,41,36652,479,36645,36660,36662,24962,,一般,,
2026/04/14,TX,202609  ,35686,36168,35675,36168,570,1.60%,24,-,-,36165,36197,36168,24962,,盤後,,
2026/04/14,TX,202612  ,36314,36802,36314,36800,1098,3.08%,19,36800,234,36788,36805,36802,27382,,一般,,
2026/04/14,TX,202612  ,35943,36182,35938,36182,480,1.34%,15,-,-,36262,36317,36263,27382,,盤後,,
2026/04/14,TX,202703  ,36720,37000,36720,36999,1062,2.96%,26,37035,90,36935,37135,37000,32400,,一般,,
2026/04/14,TX,202703  ,36205,36450,36205,36450,513,1.43%,2,-,-,36463,36500,36450,32400,,盤後,,
2026/04/15,TX,202604  ,36725,37073,36618,36643,266,0.73%,30496,0,8760,36642,36643,37073,31227,,一般,,
