ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/18,TX,202610  ,47080,47464,46897,47418,959,2.06%,44655,47428,101893,47420,47425,47780,39852,,,,
2026/09/18,TX,202610  ,46594,47205,46538,47160,701,1.51%,21169,-,-,47151,47162,47780,39852,,絃,,
2026/09/18,TX,202611  ,47300,47601,47083,47581,965,2.07%,170,47581,597,47575,47584,47932,44435,,,,
2026/09/18,TX,202611  ,46721,47358,46721,47317,701,1.50%,106,-,-,47305,47322,47932,44435,,絃,,
2026/09/18,TX,202612  ,47382,47710,47240,47710,992,2.12%,31,47710,711,47702,47715,50228,27382,,,,
2026/09/18,TX,202612  ,46978,47364,46978,47317,599,1.28%,6,-,-,47421,47446,50228,27382,,絃,,
2026/09/18,TX,202703  ,47900,48190,47900,48190,984,2.08%,3,48171,106,48163,48179,50802,32400,,,,
2026/09/18,TX,202703  ,47568,47648,47568,47648,442,0.94%,2,-,-,47886,47908,50802,32400,,絃,,
2026/09/18,TX,202706  ,48244,48665,48150,48665,986,2.07%,12,48665,59,48639,48666,51411,41461,,,,
2026/09/18,TX,202706  ,48223,48400,48223,48400,721,1.51%,4,-,-,48356,48407,51411,41461,,絃,,
2026/09/18,TX,202709  ,48500,48700,48429,48700,1010,2.12%,26,48700,21,48678,48710,48700,47604,,,,
2026/09/18,TX,202709  ,-,-,-,-,-,-,0,-,-,48376,48512,48000,47604,,絃,,
2026/09/21,TX,202610  ,47607,48091,47496,48077,649,1.37%,37750,48053,101502,48078,48082,48091,39852,,,,
2026/09/21,TX,202610  ,47494,47584,47208,47405,-23,-0.05%,21514,-,-,47404,47415,47780,39852,,絃,,
2026/09/21,TX,202611  ,47701,48219,47666,48205,624,1.31%,193,48240,653,48236,48245,48219,44435,,,,
2026/09/21,TX,202611  ,47659,47730,47380,47570,-11,-0.02%,168,-,-,47566,47584,47932,44435,,絃,,
2026/09/21,TX,202612  ,47845,48366,47845,48366,656,1.37%,40,48361,722,48369,48381,50228,27382,,,,
2026/09/21,TX,202612  ,47838,47838,47528,47759,49,0.10%,21,-,-,47697,47720,50228,27382,,絃,,
2026/09/21,TX,202703  ,48436,48765,48436,48765,594,1.23%,11,48834,104,48827,48842,50802,32400,,,,
2026/09/21,TX,202703  ,48200,48200,48100,48100,-71,-0.15%,3,-,-,48152,48185,50802,32400,,絃,,
2026/09/21,TX,202706  ,-,-,-,-,-,-,0,49335,60,49324,49347,51411,41461,,,,
2026/09/21,TX,202706  ,48768,48768,48513,48688,23,0.05%,10,-,-,48636,48682,51411,41461,,絃,,
2026/09/21,TX,202709  ,49096,49544,49096,49544,844,1.73%,12,49413,32,49396,49431,49544,47604,,,,
2026/09/21,TX,202709  ,48644,48644,48644,48644,-56,-0.11%,1,-,-,48659,48750,48700,47604,,絃,,
2026/09/22,TX,202610  ,48888,48946,48034,48243,190,0.40%,41691,48225,102946,48243,48247,48946,39852,,,,
2026/09/22,TX,202610  ,48121,48805,48105,48781,728,1.51%,20885,-,-,48775,48783,48805,39852,,絃,,
2026/09/22,TX,202611  ,48979,49090,48206,48395,155,0.32%,322,48387,838,48406,48416,49090,44435,,,,
2026/09/22,TX,202611  ,48288,48970,48286,48927,687,1.42%,151,-,-,48941,48954,48970,44435,,絃,,
2026/09/22,TX,202612  ,49150,49150,48350,48400,39,0.08%,28,48559,736,48553,48566,50228,27382,,,,
2026/09/22,TX,202612  ,48442,48990,48442,48990,629,1.30%,7,-,-,49071,49085,50228,27382,,絃,,
2026/09/22,TX,202703  ,49481,49481,49050,49050,216,0.44%,14,49033,109,49025,49041,50802,32400,,,,
2026/09/22,TX,202703  ,49023,49023,48992,48992,158,0.32%,2,-,-,49525,49553,50802,32400,,絃,,
2026/09/22,TX,202706  ,50000,50000,49550,49550,215,0.44%,2,49550,62,49532,49549,51411,41461,,,,
2026/09/22,TX,202706  ,49529,49980,49500,49980,645,1.31%,10,-,-,50030,50063,51411,41461,,絃,,
2026/09/22,TX,202709  ,50228,50228,49743,49743,330,0.67%,6,49635,34,49627,49643,50228,47604,,,,
2026/09/22,TX,202709  ,49686,50010,49686,50010,597,1.21%,3,-,-,50135,50203,50010,47604,,絃,,
2026/09/18,TX,202610/202611    ,154,161,153,155,-,-,37,-,-,155,159,195,140,,,101,
2026/09/18,TX,202610/202611    ,157,158,153,158,-,-,22,-,-,154,160,195,140,,絃,45,
2026/09/18,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,282,290,493,201,,,30,
2026/09/18,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,270,284,493,201,,絃,6,
2026/09/18,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,743,754,774,773,,,3,
2026/09/18,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,735,760,774,773,,絃,2,
2026/09/18,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1219,1241,1203,1203,,,12,
2026/09/18,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1205,1245,1203,1203,,絃,4,
2026/09/18,TX,202610/202709    ,1263,1269,1263,1269,-,-,5,-,-,1258,1285,1269,1263,,,18,
2026/09/18,TX,202611/202709    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,,1,
2026/09/18,TX,202706/202709    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,,1,
2026/09/21,TX,202610/202611    ,166,166,160,161,-,-,42,-,-,158,163,195,140,,,130,
2026/09/21,TX,202610/202611    ,167,167,167,167,-,-,15,-,-,162,169,195,140,,絃,99,
2026/09/21,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,291,299,493,201,,,39,
2026/09/21,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,293,305,493,201,,絃,21,
2026/09/21,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,749,760,774,773,,,11,
2026/09/21,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,748,770,774,773,,絃,3,
2026/09/21,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1232,1267,1203,1203,,絃,10,
2026/09/21,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1318,1349,1269,1263,,,12,
2026/09/21,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1255,1335,1269,1263,,絃,1,
2026/09/22,TX,202610/202611    ,171,171,163,165,-,-,86,-,-,163,169,195,140,,,204,
2026/09/22,TX,202610/202611    ,164,166,164,165,-,-,20,-,-,166,171,195,140,,絃,92,
2026/09/22,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,310,319,493,201,,,27,
2026/09/22,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,296,302,493,201,,絃,7,
2026/09/22,TX,202610/202703    ,751,776,751,776,-,-,4,-,-,782,794,776,751,,,10,
2026/09/22,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,750,770,774,773,,絃,2,
2026/09/22,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1289,1302,1203,1203,,,1,
2026/09/22,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1255,1280,1203,1203,,絃,9,
2026/09/22,TX,202610/202709    ,1383,1389,1383,1388,-,-,3,-,-,1384,1396,1389,1263,,,3,
2026/09/22,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1360,1420,1269,1263,,絃,3,
2026/09/22,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,519,638,602,,,1,
2026/09/22,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,519,638,602,,絃,1,
