ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2025/09/05,TX,202509  ,24363,24429,24286,24419,289,1.20%,55821,24424,77754,24416,24419,24496,16850,,,,
2025/09/05,TX,202509  ,24125,24338,24120,24335,205,0.85%,34319,-,-,24322,24334,24496,16850,,絃,,
2025/09/05,TX,202510  ,24365,24421,24282,24412,283,1.17%,1209,24418,2587,24407,24413,24486,22803,,,,
2025/09/05,TX,202510  ,24125,24333,24125,24330,201,0.83%,461,-,-,24317,24332,24486,22803,,絃,,
2025/09/05,TX,202511  ,24378,24415,24289,24415,273,1.13%,41,24415,115,24408,24415,24458,23736,,,,
2025/09/05,TX,202511  ,24127,24334,24127,24327,185,0.77%,13,-,-,24319,24336,24458,23736,,絃,,
2025/09/05,TX,202512  ,24357,24400,24279,24400,280,1.16%,13,24400,897,24386,24393,24400,16873,,,,
2025/09/05,TX,202512  ,24140,24261,24140,24261,141,0.58%,7,-,-,24302,24319,24400,16873,,絃,,
2025/09/05,TX,202603  ,24266,24349,24245,24349,281,1.17%,6,24340,312,24337,24343,24349,17068,,,,
2025/09/05,TX,202603  ,24109,24109,24109,24109,41,0.17%,1,-,-,24255,24276,24275,17068,,絃,,
2025/09/05,TX,202606  ,24256,24277,24256,24277,274,1.14%,3,24277,63,24266,24299,24277,20819,,,,
2025/09/05,TX,202606  ,-,-,-,-,-,-,0,-,-,24167,24238,24250,20819,,絃,,
2025/09/08,TX,202509  ,24588,24674,24518,24551,127,0.52%,58765,24556,77312,24549,24553,24674,16850,,,,
2025/09/08,TX,202509  ,24440,24549,24288,24478,54,0.22%,61197,-,-,24475,24478,24549,16850,,絃,,
2025/09/08,TX,202510  ,24570,24660,24509,24543,125,0.51%,1231,24545,2908,24542,24546,24660,22803,,,,
2025/09/08,TX,202510  ,24425,24538,24288,24467,49,0.20%,1518,-,-,24467,24474,24538,22803,,絃,,
2025/09/08,TX,202511  ,24583,24638,24523,24552,137,0.56%,32,24552,123,24539,24547,24638,23736,,,,
2025/09/08,TX,202511  ,24425,24533,24300,24500,85,0.35%,45,-,-,24469,24478,24533,23736,,絃,,
2025/09/08,TX,202512  ,24590,24639,24493,24562,162,0.66%,16,24515,908,24512,24519,24639,16873,,,,
2025/09/08,TX,202512  ,24473,24518,24270,24484,84,0.34%,21,-,-,24447,24457,24518,16873,,絃,,
2025/09/08,TX,202603  ,24537,24537,24489,24489,149,0.61%,4,24470,316,24466,24474,24537,17068,,,,
2025/09/08,TX,202603  ,24336,24441,24227,24337,-3,-0.01%,6,-,-,24395,24410,24441,17068,,絃,,
2025/09/08,TX,202606  ,24506,24512,24475,24475,198,0.82%,4,24421,66,24409,24433,24512,20819,,,,
2025/09/08,TX,202606  ,-,-,-,-,-,-,0,-,-,24325,24363,24277,20819,,絃,,
2025/09/09,TX,202509  ,24725,24838,24660,24802,246,1.00%,56977,24803,79446,24803,24805,24838,16850,,,,
2025/09/09,TX,202509  ,24570,24720,24562,24712,156,0.64%,25001,-,-,24709,24714,24720,16850,,絃,,
2025/09/09,TX,202510  ,24702,24822,24652,24788,243,0.99%,2050,24784,3976,24786,24789,24822,22803,,,,
2025/09/09,TX,202510  ,24552,24710,24552,24698,153,0.62%,600,-,-,24695,24704,24710,22803,,絃,,
2025/09/09,TX,202511  ,24700,24811,24660,24783,231,0.94%,115,24783,169,24782,24788,24811,23736,,,,
2025/09/09,TX,202511  ,24575,24700,24575,24700,148,0.60%,37,-,-,24696,24706,24700,23736,,絃,,
2025/09/09,TX,202512  ,24668,24772,24620,24742,227,0.93%,20,24742,913,24742,24746,24772,16873,,,,
2025/09/09,TX,202512  ,24558,24679,24558,24679,164,0.67%,6,-,-,24661,24676,24679,16873,,絃,,
2025/09/09,TX,202603  ,24646,24660,24586,24607,137,0.56%,19,24693,325,24690,24697,24660,17068,,,,
2025/09/09,TX,202603  ,24568,24568,24540,24540,70,0.29%,2,-,-,24614,24628,24568,17068,,絃,,
2025/09/09,TX,202606  ,24562,24562,24561,24561,140,0.57%,3,24646,67,24633,24660,24562,20819,,,,
2025/09/09,TX,202606  ,24470,24470,24470,24470,49,0.20%,1,-,-,24564,24594,24512,20819,,絃,,
2025/09/10,TX,202509  ,24970,25244,24961,25178,375,1.51%,70661,25176,81079,25172,25178,25244,16850,,,,
2025/09/10,TX,202509  ,24809,24977,24750,24977,174,0.70%,40441,-,-,24975,24977,24977,16850,,絃,,
2025/09/10,TX,202510  ,24942,25220,24942,25148,364,1.47%,2828,25152,5583,25149,25156,25220,22803,,,,
2025/09/10,TX,202510  ,24787,24962,24742,24962,178,0.72%,1144,-,-,24962,24964,24962,22803,,絃,,
2025/09/10,TX,202511  ,24963,25200,24959,25130,347,1.40%,111,25150,172,25145,25156,25200,23736,,,,
2025/09/10,TX,202511  ,24783,24954,24736,24954,171,0.69%,67,-,-,24954,24957,24954,23736,,絃,,
2025/09/10,TX,202512  ,24928,25140,24928,25113,371,1.50%,101,25113,991,25109,25119,25140,16873,,,,
2025/09/10,TX,202512  ,24766,24894,24700,24890,148,0.60%,27,-,-,24911,24919,24894,16873,,絃,,
2025/09/10,TX,202603  ,24900,25102,24900,25062,369,1.49%,32,25062,332,25053,25064,25102,17068,,,,
2025/09/10,TX,202603  ,24716,24850,24716,24832,139,0.56%,15,-,-,24864,24874,24850,17068,,絃,,
2025/09/10,TX,202606  ,-,-,-,-,-,-,0,25013,67,24993,25033,24562,20819,,,,
2025/09/10,TX,202606  ,-,-,-,-,-,-,0,-,-,24815,24837,24562,20819,,絃,,
2025/09/05,TX,202509/202510    ,-6,-5,-9,-6,-,-,163,-,-,-9,-6,7,-37,,,725,
2025/09/05,TX,202509/202510    ,-,-,-,-,-,-,0,-,-,-5,-2,7,-37,,絃,264,
2025/09/05,TX,202509/202511    ,3,3,3,3,-,-,2,-,-,-8,-4,15,-36,,,34,
