ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/07/21,TX,202608  ,43297,44404,43197,44377,1715,4.02%,61234,44375,106920,44370,44376,49470,41300,,,,
2026/07/21,TX,202608  ,42641,43592,42640,42979,317,0.74%,42192,-,-,42949,42975,49470,41300,,絃,,
2026/07/21,TX,202609  ,43600,44600,43447,44597,1729,4.03%,486,44586,3138,44583,44593,49651,24962,,,,
2026/07/21,TX,202609  ,42897,43800,42897,43182,314,0.73%,301,-,-,43178,43209,49651,24962,,絃,,
2026/07/21,TX,202610  ,43834,44750,43834,44747,1530,3.54%,12,44933,53,44928,44939,46770,42891,,,,
2026/07/21,TX,202610  ,43400,44098,43400,43576,359,0.83%,30,-,-,43534,43577,46770,42891,,絃,,
2026/07/21,TX,202612  ,44827,45354,44827,45300,1551,3.55%,7,45465,309,45459,45472,50228,27382,,,,
2026/07/21,TX,202612  ,44250,44450,44150,44150,401,0.92%,8,-,-,44064,44120,50228,27382,,絃,,
2026/07/21,TX,202703  ,-,-,-,-,-,-,0,46279,116,46271,46289,50802,32400,,,,
2026/07/21,TX,202703  ,44961,44961,44961,44961,395,0.89%,1,-,-,44880,44940,50802,32400,,絃,,
2026/07/21,TX,202706  ,46902,46902,46902,46902,1530,3.37%,3,47081,21,47070,47093,51411,45100,,,,
2026/07/21,TX,202706  ,-,-,-,-,-,-,0,-,-,45684,45745,51411,45100,,絃,,
2026/07/22,TX,202608  ,45000,45364,44613,44631,256,0.58%,66011,44645,103996,44621,44627,49470,41300,,,,
2026/07/22,TX,202608  ,44573,44998,44414,44961,586,1.32%,31985,-,-,44955,44960,49470,41300,,絃,,
2026/07/22,TX,202609  ,45274,45566,44835,44916,330,0.74%,359,44837,3188,44832,44843,49651,24962,,,,
2026/07/22,TX,202609  ,44762,45200,44642,45166,580,1.30%,156,-,-,45162,45173,49651,24962,,絃,,
2026/07/22,TX,202610  ,45693,45859,45300,45300,367,0.82%,18,45159,60,45153,45165,46770,42891,,,,
2026/07/22,TX,202610  ,45106,45456,45106,45447,514,1.14%,11,-,-,45479,45497,46770,42891,,絃,,
2026/07/22,TX,202612  ,46288,46288,45808,45813,348,0.77%,14,45661,312,45658,45665,50228,27382,,,,
2026/07/22,TX,202612  ,45695,45808,45695,45808,343,0.75%,7,-,-,45995,46030,50228,27382,,絃,,
2026/07/22,TX,202703  ,47099,47099,46837,46837,558,1.21%,6,46471,121,46465,46478,50802,32400,,,,
2026/07/22,TX,202703  ,46279,-,-,46279,0,0.00%,1,-,-,46795,46846,50802,32400,,絃,,
2026/07/22,TX,202706  ,47800,47800,47800,47800,719,1.53%,4,47290,23,47276,47305,51411,45100,,,,
2026/07/22,TX,202706  ,47170,47635,47170,47635,554,1.18%,8,-,-,47610,47658,51411,45100,,絃,,
2026/07/23,TX,202608  ,45310,45339,44445,44930,285,0.64%,54342,44912,103097,44930,44935,49470,41300,,,,
2026/07/23,TX,202608  ,44453,45205,44395,45034,389,0.87%,36773,-,-,45020,45035,49470,41300,,絃,,
2026/07/23,TX,202609  ,45471,45501,44676,45101,264,0.59%,244,45099,3230,45132,45142,49651,24962,,,,
2026/07/23,TX,202609  ,44700,45366,44658,45216,379,0.85%,172,-,-,45220,45243,49651,24962,,絃,,
2026/07/23,TX,202610  ,45828,45828,44988,45368,209,0.46%,19,45444,70,45439,45450,46770,42891,,,,
2026/07/23,TX,202610  ,44960,45636,44954,45636,477,1.06%,13,-,-,45542,45566,46770,42891,,絃,,
2026/07/23,TX,202612  ,45966,45966,45480,45600,-61,-0.13%,6,45950,309,45944,45957,50228,27382,,,,
2026/07/23,TX,202612  ,45671,46158,45588,46050,389,0.85%,11,-,-,46040,46080,50228,27382,,絃,,
2026/07/23,TX,202703  ,-,-,-,-,-,-,0,46755,121,46747,46763,50802,32400,,,,
2026/07/23,TX,202703  ,46464,46753,46464,46753,282,0.61%,2,-,-,46854,46883,50802,32400,,絃,,
2026/07/23,TX,202706  ,47300,47300,47223,47223,-67,-0.14%,2,47574,26,47560,47589,51411,45100,,,,
2026/07/23,TX,202706  ,47364,47752,47364,47752,462,0.98%,3,-,-,47658,47712,51411,45100,,絃,,
2026/07/24,TX,202608  ,44166,44499,43640,43905,-1007,-2.24%,69395,43814,102415,43905,43919,49470,41300,,,,
2026/07/24,TX,202608  ,44853,45028,43839,44391,-521,-1.16%,53440,-,-,44390,44408,49470,41300,,絃,,
2026/07/24,TX,202609  ,44349,44688,43820,44074,-1025,-2.27%,661,43949,3591,44077,44095,49651,24962,,,,
2026/07/24,TX,202609  ,44986,45228,44080,44603,-496,-1.10%,342,-,-,44592,44617,49651,24962,,絃,,
