ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/07/31,TX,202608  ,42331,43951,42305,43678,3392,8.42%,91473,43727,111302,43676,43688,49470,39442,,,,
2026/07/31,TX,202608  ,40035,41874,39866,41859,1573,3.90%,49738,-,-,41835,41860,49470,39442,,絃,,
2026/07/31,TX,202609  ,42478,44091,42478,43836,3387,8.37%,541,43888,5821,43828,43845,49651,24962,,,,
2026/07/31,TX,202609  ,40192,42024,40036,42000,1551,3.83%,380,-,-,41979,42011,49651,24962,,絃,,
2026/07/31,TX,202610  ,42768,44154,42722,44150,3558,8.77%,25,44010,141,44002,44019,46770,39852,,,,
2026/07/31,TX,202610  ,40928,42168,40928,42168,1576,3.88%,45,-,-,42147,42185,46770,39852,,絃,,
2026/07/31,TX,202612  ,42888,44514,42888,44514,3595,8.79%,22,44306,377,44296,44317,50228,27382,,,,
2026/07/31,TX,202612  ,41454,42370,41454,42350,1431,3.50%,13,-,-,42455,42520,50228,27382,,絃,,
2026/07/31,TX,202703  ,44300,44430,44300,44306,2766,6.66%,5,44906,115,44895,44918,50802,32400,,,,
2026/07/31,TX,202703  ,42910,42962,42898,42962,1422,3.42%,6,-,-,43075,43135,50802,32400,,絃,,
2026/07/31,TX,202706  ,44528,45286,44528,45209,2998,7.10%,10,45543,62,45526,45561,51411,41461,,,,
2026/07/31,TX,202706  ,42168,43680,42168,43680,1469,3.48%,10,-,-,43715,43850,51411,41461,,絃,,
2026/08/03,TX,202608  ,43186,43836,42989,43230,-497,-1.14%,69550,43219,109589,43231,43247,49470,39442,,,,
2026/08/03,TX,202608  ,43519,43873,42086,42650,-1077,-2.46%,69668,-,-,42650,42666,49470,39442,,絃,,
2026/08/03,TX,202609  ,43368,43966,43260,43388,-500,-1.14%,485,43363,6108,43373,43391,49651,24962,,,,
2026/08/03,TX,202609  ,43677,44001,42317,42850,-1038,-2.37%,376,-,-,42832,42853,49651,24962,,絃,,
2026/08/03,TX,202610  ,43394,43810,43394,43580,-430,-0.98%,44,43580,192,43564,43585,46770,39852,,,,
2026/08/03,TX,202610  ,43865,43981,42589,42950,-1060,-2.41%,46,-,-,43008,43039,46770,39852,,絃,,
2026/08/03,TX,202612  ,44218,44218,43985,44014,-292,-0.66%,10,43871,376,43860,43883,50228,27382,,,,
2026/08/03,TX,202612  ,44169,44438,43010,43099,-1207,-2.72%,18,-,-,43302,43343,50228,27382,,絃,,
2026/08/03,TX,202703  ,-,-,-,-,-,-,0,44470,115,44456,44484,50802,32400,,,,
2026/08/03,TX,202703  ,44772,44772,44000,44000,-906,-2.02%,7,-,-,43890,43946,50802,32400,,絃,,
2026/08/03,TX,202706  ,-,-,-,-,-,-,0,45093,62,45073,45113,51411,41461,,,,
