交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/01/09,TX,202601  ,30450,30578,30005,30456,-2,-0.01%,83205,30453,72254,30452,30453,30676,26277,,一般,,
2026/01/09,TX,202601  ,30433,30583,30325,30458,0,0.00%,38418,-,-,30454,30458,30676,26277,,盤後,,
2026/01/09,TX,202602  ,30569,30690,30135,30562,-5,-0.02%,1917,30561,4030,30561,30565,30795,26305,,一般,,
2026/01/09,TX,202602  ,30549,30690,30450,30575,8,0.03%,552,-,-,30572,30580,30795,26305,,盤後,,
2026/01/09,TX,202603  ,30623,30740,30196,30618,-5,-0.02%,179,30625,887,30623,30627,30827,17068,,一般,,
2026/01/09,TX,202603  ,30673,30720,30510,30510,-113,-0.37%,15,-,-,30627,30637,30827,17068,,盤後,,
2026/01/09,TX,202606  ,30630,30840,30319,30774,36,0.12%,18,30748,421,30745,30751,30920,20819,,一般,,
2026/01/09,TX,202606  ,30810,30839,30630,30685,-53,-0.17%,9,-,-,30736,30757,30920,20819,,盤後,,
2026/01/09,TX,202609  ,30496,30535,30200,30535,2,0.01%,4,30545,200,30538,30552,30719,24962,,一般,,
2026/01/09,TX,202609  ,30585,30585,30440,30449,-84,-0.28%,9,-,-,30530,30553,30719,24962,,盤後,,
2026/01/09,TX,202612  ,30364,30695,30364,30695,70,0.23%,2,30636,39,30620,30652,30800,27382,,一般,,
2026/01/09,TX,202612  ,30671,30671,30525,30658,33,0.11%,6,-,-,30609,30661,30800,27382,,盤後,,
2026/01/12,TX,202601  ,30717,30763,30555,30701,248,0.81%,57701,30700,71308,30701,30704,30840,26277,,一般,,
2026/01/12,TX,202601  ,30469,30840,30417,30826,373,1.22%,45074,-,-,30820,30828,30840,26277,,盤後,,
2026/01/12,TX,202602  ,30838,30878,30678,30821,260,0.85%,1666,30820,4649,30821,30825,30942,26305,,一般,,
2026/01/12,TX,202602  ,30591,30942,30537,30920,359,1.17%,872,-,-,30922,30935,30942,26305,,盤後,,
2026/01/12,TX,202603  ,30887,30915,30740,30875,250,0.82%,103,30875,948,30873,30878,31002,17068,,一般,,
2026/01/12,TX,202603  ,30694,31002,30694,30986,361,1.18%,63,-,-,30985,30998,31002,17068,,盤後,,
2026/01/12,TX,202606  ,30982,30982,30880,30960,212,0.69%,6,31027,425,31023,31032,31067,20819,,一般,,
2026/01/12,TX,202606  ,30729,31067,30729,31067,319,1.04%,13,-,-,31117,31140,31067,20819,,盤後,,
2026/01/12,TX,202609  ,30831,30831,30750,30750,205,0.67%,4,30820,200,30813,30828,30910,24962,,一般,,
