ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/07/28,TX,202608  ,42569,42627,41516,41613,-2267,-5.17%,81786,41573,104993,41609,41614,49470,41300,,,,
2026/07/28,TX,202608  ,43956,44241,42787,43172,-708,-1.61%,53743,-,-,43170,43182,49470,41300,,絃,,
2026/07/28,TX,202609  ,42942,42942,41687,41748,-2289,-5.20%,1027,41743,4536,41769,41781,49651,24962,,,,
2026/07/28,TX,202609  ,44133,44405,43010,43371,-666,-1.51%,322,-,-,43361,43380,49651,24962,,絃,,
2026/07/28,TX,202610  ,42888,42888,41954,41954,-2367,-5.34%,38,41977,91,42010,42022,46770,41954,,,,
2026/07/28,TX,202610  ,44475,44548,43250,43634,-687,-1.55%,26,-,-,43579,43607,46770,42891,,絃,,
2026/07/28,TX,202612  ,43161,43178,42629,42629,-2158,-4.82%,43,42414,373,42406,42423,50228,27382,,,,
2026/07/28,TX,202612  ,44924,45018,43690,43691,-1096,-2.45%,6,-,-,44000,44058,50228,27382,,絃,,
2026/07/28,TX,202703  ,43926,43935,43567,43750,-1804,-3.96%,7,43195,118,43180,43210,50802,32400,,,,
2026/07/28,TX,202703  ,44489,44489,44489,44489,-1065,-2.34%,1,-,-,44740,44821,50802,32400,,絃,,
2026/07/28,TX,202706  ,44600,44828,44085,44300,-2079,-4.48%,27,43956,42,43949,43963,51411,44085,,,,
2026/07/28,TX,202706  ,45512,45512,45300,45300,-1079,-2.33%,6,-,-,45570,45642,51411,45100,,絃,,
2026/07/29,TX,202608  ,41915,42070,39442,40392,-1181,-2.84%,124405,40328,108507,40364,40385,49470,39442,,,,
2026/07/29,TX,202608  ,41779,42108,41178,41889,316,0.76%,54682,-,-,41879,41908,49470,41178,,絃,,
2026/07/29,TX,202609  ,41963,42133,39643,40524,-1219,-2.92%,1698,40506,4829,40521,40548,49651,24962,,,,
2026/07/29,TX,202609  ,42002,42222,41351,41960,217,0.52%,313,-,-,42019,42053,49651,24962,,絃,,
2026/07/29,TX,202610  ,42360,42360,39900,40669,-1308,-3.12%,80,40670,117,40694,40727,46770,39900,,,,
2026/07/29,TX,202610  ,42129,42360,41688,42180,203,0.48%,38,-,-,42209,42259,46770,41688,,絃,,
2026/07/29,TX,202612  ,42060,42140,40374,41086,-1328,-3.13%,28,41038,379,40991,41085,50228,27382,,,,
2026/07/29,TX,202612  ,42400,42400,42400,42400,-14,-0.03%,2,-,-,42578,42643,50228,27382,,絃,,
2026/07/29,TX,202703  ,42583,42583,40980,41251,-1944,-4.50%,23,41683,116,41615,41752,50802,32400,,,,
2026/07/29,TX,202703  ,-,-,-,-,-,-,0,-,-,43309,43390,50802,32400,,絃,,
2026/07/29,TX,202706  ,43756,43756,41461,41546,-2410,-5.48%,48,42422,58,42301,42543,51411,41461,,,,
2026/07/29,TX,202706  ,44033,44033,43900,43900,-56,-0.13%,14,-,-,44079,44188,51411,43900,,絃,,
