ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/28,TX,202609  ,46366,46580,46215,46357,293,0.64%,41611,46357,105613,46357,46363,49651,24962,,,,
2026/08/28,TX,202609  ,46132,46549,46036,46388,324,0.70%,29574,-,-,46381,46384,49651,24962,,絃,,
2026/08/28,TX,202610  ,46552,46735,46401,46502,256,0.55%,474,46502,975,46501,46508,46789,39852,,,,
2026/08/28,TX,202610  ,46297,46700,46250,46550,304,0.66%,164,-,-,46549,46562,46789,39852,,絃,,
2026/08/28,TX,202611  ,46820,46850,46587,46637,240,0.52%,26,46667,42,46650,46684,46850,44435,,,,
2026/08/28,TX,202611  ,46443,46789,46443,46600,203,0.44%,36,-,-,46696,46725,46789,44435,,絃,,
2026/08/28,TX,202612  ,46790,46850,46710,46780,285,0.61%,19,46780,392,46753,46788,50228,27382,,,,
2026/08/28,TX,202612  ,46706,46899,46604,46899,404,0.87%,10,-,-,46794,46834,50228,27382,,絃,,
2026/08/28,TX,202703  ,47353,47398,47100,47196,290,0.62%,9,47196,125,47183,47206,50802,32400,,,,
2026/08/28,TX,202703  ,46974,47354,46974,47200,294,0.63%,9,-,-,47206,47259,50802,32400,,絃,,
2026/08/28,TX,202706  ,47816,47816,47816,47816,381,0.80%,1,47711,77,47696,47727,51411,41461,,,,
2026/08/28,TX,202706  ,-,-,-,-,-,-,0,-,-,47734,47789,51411,41461,,絃,,
2026/08/31,TX,202609  ,45800,46060,45415,45983,-374,-0.81%,53336,45977,104409,45985,45987,49651,24962,,,,
2026/08/31,TX,202609  ,46438,46613,45826,45900,-457,-0.99%,35867,-,-,45898,45900,49651,24962,,絃,,
2026/08/31,TX,202610  ,45987,46200,45588,46116,-386,-0.83%,411,46116,1310,46139,46145,46789,39852,,,,
2026/08/31,TX,202610  ,46603,46723,45979,46049,-453,-0.97%,560,-,-,46044,46047,46789,39852,,絃,,
2026/08/31,TX,202611  ,46046,46228,45750,46225,-442,-0.95%,25,46304,54,46300,46308,46850,44435,,,,
2026/08/31,TX,202611  ,46594,46594,46351,46368,-299,-0.64%,9,-,-,46203,46229,46850,44435,,絃,,
2026/08/31,TX,202612  ,46150,46472,45946,46386,-394,-0.84%,31,46410,406,46405,46416,50228,27382,,,,
