ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/04,TX,202609  ,46406,46756,46057,46704,885,1.93%,50177,46709,104112,46704,46707,49651,24962,,,,
2026/09/04,TX,202609  ,45902,46559,45726,46487,668,1.46%,38370,-,-,46477,46488,49651,24962,,絃,,
2026/09/04,TX,202610  ,46711,46920,46233,46886,874,1.90%,650,46886,2581,46872,46879,47481,39852,,,,
2026/09/04,TX,202610  ,46082,46724,45930,46650,638,1.39%,308,-,-,46646,46662,47481,39852,,絃,,
2026/09/04,TX,202611  ,46740,47069,46552,47069,867,1.88%,42,47032,103,47027,47037,47630,44435,,,,
2026/09/04,TX,202611  ,46098,46828,46098,46828,626,1.35%,19,-,-,46806,46838,47630,44435,,絃,,
2026/09/04,TX,202612  ,47088,47200,46655,47200,862,1.86%,6,47153,455,47147,47159,50228,27382,,,,
2026/09/04,TX,202612  ,46435,46958,46300,46945,607,1.31%,15,-,-,46916,46973,50228,27382,,絃,,
2026/09/04,TX,202703  ,47600,47639,47248,47639,799,1.71%,5,47626,120,47618,47634,50802,32400,,,,
2026/09/04,TX,202703  ,46950,47168,46800,47168,328,0.70%,10,-,-,47337,47488,50802,32400,,絃,,
2026/09/04,TX,202706  ,47999,48158,47652,48158,855,1.81%,6,48140,66,48127,48153,51411,41461,,,,
2026/09/04,TX,202706  ,47388,47965,47388,47965,662,1.40%,7,-,-,47897,47973,51411,41461,,絃,,
2026/09/07,TX,202609  ,47280,47572,47093,47470,761,1.63%,43189,47462,103693,47470,47476,49651,24962,,,,
2026/09/07,TX,202609  ,46622,47236,46560,47182,473,1.01%,33845,-,-,47178,47185,49651,24962,,絃,,
2026/09/07,TX,202610  ,47446,47752,47288,47667,781,1.67%,831,47643,3080,47653,47664,47752,39852,,,,
2026/09/07,TX,202610  ,46830,47400,46750,47356,470,1.00%,542,-,-,47352,47365,47481,39852,,絃,,
2026/09/07,TX,202611  ,47698,47894,47698,47706,674,1.43%,77,47813,156,47807,47819,47894,44435,,,,
2026/09/07,TX,202611  ,47032,47524,46920,47524,492,1.05%,21,-,-,47511,47530,47630,44435,,絃,,
2026/09/07,TX,202612  ,47743,47968,47600,47900,747,1.58%,38,47941,458,47934,47948,50228,27382,,,,
2026/09/07,TX,202612  ,47336,47610,47336,47604,451,0.96%,5,-,-,47625,47647,50228,27382,,絃,,
2026/09/07,TX,202703  ,48327,48396,48303,48396,770,1.62%,3,48396,121,48390,48400,50802,32400,,,,
2026/09/07,TX,202703  ,47996,47996,47996,47996,370,0.78%,1,-,-,48088,48140,50802,32400,,絃,,
2026/09/07,TX,202706  ,48769,48960,48687,48795,655,1.36%,5,48875,67,48861,48889,51411,41461,,,,
2026/09/07,TX,202706  ,48320,48636,48064,48580,440,0.91%,7,-,-,48568,48635,51411,41461,,絃,,
2026/09/08,TX,202609  ,47513,47536,47251,47329,-133,-0.28%,9784,-,-,47328,47339,49651,24962,,絃,,
2026/09/08,TX,202610  ,47679,47690,47456,47532,-111,-0.23%,120,-,-,47526,47540,47752,39852,,絃,,
2026/09/08,TX,202611  ,47814,47842,47724,47724,-89,-0.19%,4,-,-,47681,47698,47894,44435,,絃,,
2026/09/08,TX,202612  ,47800,47800,47800,47800,-141,-0.29%,3,-,-,47816,47834,50228,27382,,絃,,
2026/09/08,TX,202703  ,-,-,-,-,-,-,0,-,-,48270,48293,50802,32400,,絃,,
2026/09/08,TX,202706  ,-,-,-,-,-,-,0,-,-,48738,48774,51411,41461,,絃,,
2026/09/04,TX,202609/202610    ,171,176,167,170,-,-,398,-,-,168,172,238,71,,,196,
2026/09/04,TX,202609/202610    ,183,183,170,170,-,-,97,-,-,169,174,238,71,,絃,167,
2026/09/04,TX,202609/202611    ,342,342,332,332,-,-,27,-,-,323,330,408,305,,,13,
2026/09/04,TX,202609/202611    ,349,349,348,348,-,-,2,-,-,329,350,408,305,,絃,13,
2026/09/04,TX,202609/202612    ,459,459,459,459,-,-,2,-,-,443,452,861,104,,,4,
2026/09/04,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,439,485,861,104,,絃,14,
2026/09/04,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,914,927,855,787,,,2,
2026/09/04,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,860,1000,855,787,,絃,9,
2026/09/04,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1423,1446,1515,1347,,,5,
2026/09/04,TX,202609/202706    ,1479,1479,1477,1478,-,-,3,-,-,1420,1485,1515,1347,,絃,4,
2026/09/04,TX,202610/202611    ,166,166,166,166,-,-,1,-,-,156,177,195,166,,,1,
2026/09/04,TX,202610/202611    ,186,186,186,186,-,-,2,-,-,155,189,195,186,,絃,2,
2026/09/04,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,-,139,133,133,,絃,1,
2026/09/04,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,433,498,638,602,,,1,
2026/09/07,TX,202609/202610    ,175,188,168,184,-,-,377,-,-,183,188,238,71,,,391,
2026/09/07,TX,202609/202610    ,169,184,168,177,-,-,94,-,-,174,180,238,71,,絃,277,
2026/09/07,TX,202609/202611    ,342,342,333,333,-,-,47,-,-,337,343,408,305,,,30,
2026/09/07,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,333,345,408,305,,絃,18,
2026/09/07,TX,202609/202612    ,458,472,458,472,-,-,15,-,-,464,472,861,104,,,20,
2026/09/07,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,447,462,861,104,,絃,5,
2026/09/07,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,920,924,855,787,,,3,
2026/09/07,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,910,955,855,787,,絃,1,
2026/09/07,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1391,1413,1515,1347,,,5,
2026/09/07,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1390,1450,1515,1347,,絃,6,
2026/09/07,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,146,-,195,166,,,10,
2026/09/07,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,158,186,195,166,,絃,2,
2026/09/08,TX,202609/202610    ,188,200,188,200,-,-,20,-,-,198,201,238,71,,絃,77,
2026/09/08,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,353,359,408,305,,絃,3,
2026/09/08,TX,202609/202612    ,488,490,488,490,-,-,2,-,-,488,495,861,104,,絃,1,
2026/09/08,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,154,-,195,166,,絃,1,
