ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/31,TX,202609  ,45800,46060,45415,45983,-374,-0.81%,53336,45977,104409,45985,45987,49651,24962,,,,
2026/08/31,TX,202609  ,46438,46613,45826,45900,-457,-0.99%,35867,-,-,45898,45900,49651,24962,,絃,,
2026/08/31,TX,202610  ,45987,46200,45588,46116,-386,-0.83%,411,46116,1310,46139,46145,46789,39852,,,,
2026/08/31,TX,202610  ,46603,46723,45979,46049,-453,-0.97%,560,-,-,46044,46047,46789,39852,,絃,,
2026/08/31,TX,202611  ,46046,46228,45750,46225,-442,-0.95%,25,46304,54,46300,46308,46850,44435,,,,
2026/08/31,TX,202611  ,46594,46594,46351,46368,-299,-0.64%,9,-,-,46203,46229,46850,44435,,絃,,
2026/08/31,TX,202612  ,46150,46472,45946,46386,-394,-0.84%,31,46410,406,46405,46416,50228,27382,,,,
2026/08/31,TX,202612  ,46878,46901,46300,46325,-455,-0.97%,12,-,-,46310,46336,50228,27382,,絃,,
2026/08/31,TX,202703  ,46640,46888,46585,46888,-308,-0.65%,3,46850,124,46843,46857,50802,32400,,,,
2026/08/31,TX,202703  ,47250,47383,46823,46823,-373,-0.79%,12,-,-,46750,46800,50802,32400,,絃,,
2026/08/31,TX,202706  ,47144,47244,46847,47244,-467,-0.98%,4,47354,77,47343,47366,51411,41461,,,,
2026/08/31,TX,202706  ,47823,47850,47356,47356,-355,-0.74%,7,-,-,47250,47290,51411,41461,,絃,,
2026/09/01,TX,202609  ,46000,47220,45987,47209,1232,2.68%,57627,47201,104368,47208,47215,49651,24962,,,,
2026/09/01,TX,202609  ,46126,46195,45788,45978,1,0.00%,25137,-,-,45970,45979,49651,24962,,絃,,
2026/09/01,TX,202610  ,46188,47364,46188,47364,1248,2.71%,328,47362,1387,47367,47379,47364,39852,,,,
2026/09/01,TX,202610  ,46249,46333,45982,46140,24,0.05%,136,-,-,46130,46144,46789,39852,,絃,,
2026/09/01,TX,202611  ,46447,47500,46433,47500,1196,2.58%,53,47536,45,47529,47543,47500,44435,,,,
2026/09/01,TX,202611  ,46420,46503,46181,46283,-21,-0.05%,41,-,-,46288,46304,46850,44435,,絃,,
2026/09/01,TX,202612  ,46574,47350,46574,47350,940,2.03%,21,47649,397,47641,47657,50228,27382,,,,
2026/09/01,TX,202612  ,46500,46588,46271,46374,-36,-0.08%,28,-,-,46396,46414,50228,27382,,絃,,
2026/09/01,TX,202703  ,46974,48017,46974,48017,1167,2.49%,8,48106,124,48093,48119,50802,32400,,,,
2026/09/01,TX,202703  ,47010,47010,46870,46870,20,0.04%,2,-,-,46834,46869,50802,32400,,絃,,
2026/09/01,TX,202706  ,47457,48530,47457,48530,1176,2.48%,10,48597,74,48581,48614,51411,41461,,,,
2026/09/01,TX,202706  ,47508,47508,47278,47293,-61,-0.13%,5,-,-,47331,47404,51411,41461,,絃,,
2026/09/02,TX,202609  ,47201,47343,46506,46679,-522,-1.11%,38354,-,-,46673,46684,49651,24962,,絃,,
2026/09/02,TX,202610  ,47346,47481,46728,46888,-474,-1.00%,341,-,-,46870,46887,47481,39852,,絃,,
2026/09/02,TX,202611  ,47630,47630,47084,47094,-442,-0.93%,17,-,-,47150,47163,47630,44435,,絃,,
2026/09/02,TX,202612  ,47649,47649,47200,47200,-449,-0.94%,20,-,-,47263,47294,50228,27382,,絃,,
2026/09/02,TX,202703  ,48084,48120,47731,47964,-142,-0.30%,10,-,-,47663,47764,50802,32400,,絃,,
2026/09/02,TX,202706  ,48714,48723,48244,48244,-353,-0.73%,7,-,-,48113,48204,51411,41461,,絃,,
2026/08/31,TX,202609/202610    ,149,157,148,155,-,-,192,-,-,154,158,238,71,,,188,
