交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/06/08,TX,202606  ,42344,43655,42225,43080,-2146,-4.75%,108149,43083,91436,43056,43081,46994,20819,,一般,,
2026/06/08,TX,202606  ,45101,45311,40779,42220,-3006,-6.65%,107378,-,-,42220,42260,46994,20819,,盤後,,
2026/06/08,TX,202607  ,42038,43678,42038,43107,-2210,-4.88%,1811,43150,4277,43084,43116,47013,36972,,一般,,
2026/06/08,TX,202607  ,45195,45382,40904,42277,-3040,-6.71%,1825,-,-,42297,42338,47013,36972,,盤後,,
2026/06/08,TX,202608  ,42748,43750,42632,43270,-2308,-5.06%,35,43293,300,43278,43309,47155,41300,,一般,,
2026/06/08,TX,202608  ,45323,45373,41300,41300,-4278,-9.39%,84,-,-,42341,42689,47155,41300,,盤後,,
2026/06/08,TX,202609  ,42781,44066,42586,43521,-2242,-4.90%,48,43504,951,43487,43521,47399,24962,,一般,,
2026/06/08,TX,202609  ,45705,45705,42601,42811,-2952,-6.45%,190,-,-,42520,42865,47399,24962,,盤後,,
2026/06/08,TX,202612  ,43618,44000,43493,43815,-2644,-5.69%,11,44161,280,44139,44184,47877,27382,,一般,,
2026/06/08,TX,202612  ,46500,46500,44254,44254,-2205,-4.75%,12,-,-,43220,43708,47877,27382,,盤後,,
2026/06/08,TX,202703  ,45469,45570,45349,45349,-1985,-4.19%,5,45003,158,44683,45324,48300,32400,,一般,,
2026/06/08,TX,202703  ,46700,46916,45155,45155,-2179,-4.60%,8,-,-,44245,44710,48300,32400,,盤後,,
2026/06/09,TX,202606  ,43661,44750,43552,44665,1582,3.67%,73328,44677,86704,44655,44665,46994,20819,,一般,,
2026/06/09,TX,202606  ,43288,44288,43215,43999,916,2.13%,73636,-,-,43983,44000,46994,20819,,盤後,,
2026/06/09,TX,202607  ,43733,44813,43621,44729,1579,3.66%,2288,44745,5583,44714,44729,47013,36972,,一般,,
2026/06/09,TX,202607  ,43364,44302,43288,44071,921,2.13%,844,-,-,44028,44052,47013,36972,,盤後,,
2026/06/09,TX,202608  ,43824,44855,43824,44855,1562,3.61%,15,44885,293,44875,44895,47155,41300,,一般,,
2026/06/09,TX,202608  ,44000,44230,43880,44228,935,2.16%,26,-,-,44169,44209,47155,41300,,盤後,,
2026/06/09,TX,202609  ,44600,44600,44600,44600,1096,2.52%,24,45087,934,45077,45097,47399,24962,,一般,,
2026/06/09,TX,202609  ,44174,44553,44114,44360,856,1.97%,23,-,-,44377,44407,47399,24962,,盤後,,
2026/06/09,TX,202612  ,45285,45285,45285,45285,1124,2.55%,1,45709,280,45693,45726,47877,27382,,一般,,
2026/06/09,TX,202612  ,44858,44858,44850,44850,689,1.56%,2,-,-,44988,45066,47877,27382,,盤後,,
2026/06/09,TX,202703  ,45400,46269,45400,46269,1266,2.81%,6,46462,124,46330,46595,48300,32400,,一般,,
2026/06/09,TX,202703  ,45580,45800,45580,45700,697,1.55%,42,-,-,45663,46000,48300,32400,,盤後,,
2026/06/10,TX,202606  ,43839,44481,43126,43422,-1255,-2.81%,94590,43367,82895,43421,43443,46994,20819,,一般,,
2026/06/10,TX,202606  ,44700,45073,42334,43878,-799,-1.79%,121791,-,-,43851,43878,46994,20819,,盤後,,
2026/06/10,TX,202607  ,43889,44510,43158,43457,-1288,-2.88%,4641,43410,8670,43458,43486,47013,36972,,一般,,
2026/06/10,TX,202607  ,44760,45118,42480,43889,-856,-1.91%,2641,-,-,43917,43953,47013,36972,,盤後,,
2026/06/10,TX,202608  ,44164,44555,43398,43554,-1331,-2.97%,28,43666,315,43649,43684,47155,41300,,一般,,
2026/06/10,TX,202608  ,44850,45100,43085,43950,-935,-2.08%,39,-,-,44077,44194,47155,41300,,盤後,,
2026/06/10,TX,202609  ,44660,44800,43777,43777,-1310,-2.91%,89,43843,967,43829,43858,47399,24962,,一般,,
2026/06/10,TX,202609  ,45087,45350,43505,43605,-1482,-3.29%,13,-,-,44266,44455,47399,24962,,盤後,,
2026/06/10,TX,202612  ,45450,45450,44517,44517,-1192,-2.61%,5,44462,279,44423,44502,47877,27382,,一般,,
