交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/05/11,TX,202605  ,42230,42258,41802,41945,14,0.03%,46800,41969,89581,41945,41953,42554,31357,,一般,,
2026/05/11,TX,202605  ,41994,42300,41668,42292,361,0.86%,41908,-,-,42286,42289,42554,31357,,盤後,,
2026/05/11,TX,202606  ,42341,42387,41942,42074,14,0.03%,1394,42080,6586,42066,42077,42669,20819,,一般,,
2026/05/11,TX,202606  ,42137,42415,41808,42415,355,0.84%,614,-,-,42413,42420,42669,20819,,盤後,,
2026/05/11,TX,202607  ,42381,42382,41998,42113,10,0.02%,142,42114,330,42095,42105,42666,36972,,一般,,
2026/05/11,TX,202607  ,42110,42411,41858,42370,267,0.63%,71,-,-,42450,42458,42666,36972,,盤後,,
2026/05/11,TX,202609  ,42480,42480,42150,42456,218,0.52%,39,42258,621,42252,42264,42767,24962,,一般,,
2026/05/11,TX,202609  ,42138,42568,42020,42568,330,0.78%,22,-,-,42596,42609,42767,24962,,盤後,,
2026/05/11,TX,202612  ,42720,42911,42710,42873,162,0.38%,30,42689,260,42680,42698,43165,27382,,一般,,
2026/05/11,TX,202612  ,42619,43025,42619,43025,314,0.74%,23,-,-,43043,43076,43165,27382,,盤後,,
2026/05/11,TX,202703  ,43420,43448,43251,43303,35,0.08%,30,43282,124,43105,43282,43627,32400,,一般,,
2026/05/11,TX,202703  ,43550,43561,43550,43561,293,0.68%,3,-,-,43610,43840,43627,32400,,盤後,,
2026/05/12,TX,202605  ,42200,42363,41607,41695,-274,-0.65%,72568,41704,87671,41692,41696,42554,31357,,一般,,
2026/05/12,TX,202605  ,41969,42367,41751,42278,309,0.74%,46025,-,-,42272,42279,42554,31357,,盤後,,
2026/05/12,TX,202606  ,42299,42475,41738,41818,-262,-0.62%,1923,41826,7086,41814,41821,42669,20819,,一般,,
2026/05/12,TX,202606  ,42036,42478,41880,42387,307,0.73%,664,-,-,42388,42399,42669,20819,,盤後,,
2026/05/12,TX,202607  ,42353,42457,41800,41850,-264,-0.63%,213,41848,466,41816,41821,42666,36972,,一般,,
2026/05/12,TX,202607  ,42002,42474,41950,42419,305,0.72%,67,-,-,42419,42431,42666,36972,,盤後,,
2026/05/12,TX,202609  ,42500,42500,41950,42084,-174,-0.41%,35,41994,626,41991,41997,42767,24962,,一般,,
2026/05/12,TX,202609  ,42235,42555,42115,42555,297,0.70%,20,-,-,42580,42590,42767,24962,,盤後,,
