ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/11,TX,202609  ,45820,46340,45780,46218,-651,-1.39%,58137,46187,88464,46212,46215,49651,24962,,,,
2026/09/11,TX,202609  ,46892,46896,46015,46072,-797,-1.70%,34522,-,-,46071,46090,49651,24962,,絃,,
2026/09/11,TX,202610  ,46041,46500,45960,46380,-670,-1.42%,9371,46372,20086,46373,46380,47780,39852,,,,
2026/09/11,TX,202610  ,46997,47066,46208,46270,-780,-1.66%,685,-,-,46255,46278,47780,39852,,絃,,
2026/09/11,TX,202611  ,46217,46632,46150,46460,-763,-1.62%,56,46543,381,46538,46548,47932,44435,,,,
2026/09/11,TX,202611  ,47226,47226,46399,46403,-820,-1.74%,31,-,-,46432,46460,47932,44435,,絃,,
2026/09/11,TX,202612  ,46450,46630,46281,46630,-723,-1.53%,22,46690,521,46686,46695,50228,27382,,,,
2026/09/11,TX,202612  ,47353,47353,46550,46550,-803,-1.70%,24,-,-,46557,46607,50228,27382,,絃,,
2026/09/11,TX,202703  ,-,-,-,-,-,-,0,47173,125,47164,47182,50802,32400,,,,
2026/09/11,TX,202703  ,47750,47750,47200,47200,-616,-1.29%,4,-,-,47021,47080,50802,32400,,絃,,
2026/09/11,TX,202706  ,47306,47306,47306,47306,-1019,-2.11%,1,47629,73,47616,47642,51411,41461,,,,
2026/09/11,TX,202706  ,47636,47636,47636,47636,-689,-1.43%,1,-,-,47521,47585,51411,41461,,絃,,
2026/09/14,TX,202609  ,45589,46018,45302,45780,-407,-0.88%,94885,45777,47416,45774,45780,49651,24962,,,,
2026/09/14,TX,202609  ,46306,46663,46041,46588,401,0.87%,28667,-,-,46552,46589,49651,24962,,絃,,
2026/09/14,TX,202610  ,45908,46142,45444,45902,-470,-1.01%,50428,45903,59870,45898,45909,47780,39852,,,,
2026/09/14,TX,202610  ,46490,46812,46224,46743,371,0.80%,1148,-,-,46707,46744,47780,39852,,絃,,
2026/09/14,TX,202611  ,45763,46243,45624,46032,-511,-1.10%,84,46032,390,46037,46056,47932,44435,,,,
2026/09/14,TX,202611  ,46616,46900,46616,46900,357,0.77%,16,-,-,46859,46908,47932,44435,,絃,,
2026/09/14,TX,202612  ,45967,46382,45786,46200,-490,-1.05%,35,46200,534,46173,46195,50228,27382,,,,
2026/09/14,TX,202612  ,46827,47100,46827,46970,280,0.60%,19,-,-,46993,47051,50228,27382,,絃,,
2026/09/14,TX,202703  ,46342,46801,46342,46801,-372,-0.79%,5,46690,125,46676,46704,50802,32400,,,,
2026/09/14,TX,202703  ,47300,47558,47230,47558,385,0.82%,6,-,-,47477,47558,50802,32400,,絃,,
2026/09/14,TX,202706  ,46880,47098,46800,47098,-531,-1.11%,7,47148,74,47129,47167,51411,41461,,,,
2026/09/14,TX,202706  ,47815,48029,47815,48000,371,0.78%,5,-,-,47947,48034,51411,41461,,絃,,
2026/09/15,TX,202609  ,45774,45844,45361,45556,-221,-0.48%,28527,-,-,45555,45579,49651,24962,,絃,,
2026/09/15,TX,202610  ,45900,45965,45501,45685,-218,-0.47%,3518,-,-,45680,45715,47780,39852,,絃,,
2026/09/15,TX,202611  ,46098,46098,45650,45830,-202,-0.44%,35,-,-,45823,45859,47932,44435,,絃,,
2026/09/15,TX,202612  ,45852,45852,45852,45852,-348,-0.75%,2,-,-,45945,46005,50228,27382,,絃,,
2026/09/15,TX,202703  ,46630,46630,46428,46484,-206,-0.44%,4,-,-,46416,46509,50802,32400,,絃,,
2026/09/15,TX,202706  ,47087,47087,46800,46835,-313,-0.66%,9,-,-,46885,46984,51411,41461,,絃,,
2026/09/11,TX,202609/202610    ,190,191,156,167,-,-,6365,-,-,161,167,238,71,,,825,
2026/09/11,TX,202609/202610    ,186,186,181,184,-,-,28,-,-,184,188,238,71,,絃,512,
2026/09/11,TX,202609/202611    ,356,356,340,345,-,-,11,-,-,326,333,408,305,,,30,
2026/09/11,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,361,370,408,305,,絃,26,
2026/09/11,TX,202609/202612    ,491,491,468,468,-,-,9,-,-,474,480,861,104,,,11,
2026/09/11,TX,202609/202612    ,475,475,475,475,-,-,2,-,-,486,517,861,104,,絃,18,
2026/09/11,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,950,990,855,787,,絃,4,
2026/09/11,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1404,1427,1515,1347,,,1,
2026/09/11,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1450,1495,1515,1347,,絃,1,
2026/09/11,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,161,170,195,166,,,14,
2026/09/11,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,170,184,195,166,,絃,5,
2026/09/11,TX,202611/202612    ,136,140,136,140,-,-,2,-,-,116,139,140,133,,,3,
2026/09/11,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,131,149,133,133,,絃,3,
2026/09/14,TX,202609/202610    ,165,169,100,129,-,-,30220,-,-,123,129,238,71,,,6386,
2026/09/14,TX,202609/202610    ,165,165,153,153,-,-,45,-,-,155,160,238,71,,絃,664,
2026/09/14,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,256,276,408,305,,,34,
2026/09/14,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,307,323,408,305,,絃,4,
2026/09/14,TX,202609/202612    ,455,455,442,442,-,-,3,-,-,390,445,861,104,,,10,
