交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2025/09/11,TX,202509  ,25386,25464,25176,25240,64,0.25%,73339,25233,80304,25234,25239,25475,16850,,一般,,
2025/09/11,TX,202509  ,25193,25475,25165,25361,185,0.73%,50263,-,-,25358,25363,25475,16850,,盤後,,
2025/09/11,TX,202510  ,25382,25450,25168,25226,74,0.29%,3366,25225,6908,25224,25230,25453,22803,,一般,,
2025/09/11,TX,202510  ,25171,25453,25150,25350,198,0.79%,2220,-,-,25342,25351,25453,22803,,盤後,,
2025/09/11,TX,202511  ,25358,25439,25180,25219,69,0.27%,85,25228,171,25224,25233,25440,23736,,一般,,
2025/09/11,TX,202511  ,25162,25440,25162,25341,191,0.76%,136,-,-,25336,25348,25440,23736,,盤後,,
2025/09/11,TX,202512  ,25325,25399,25174,25182,69,0.27%,41,25195,982,25190,25200,25399,16873,,一般,,
2025/09/11,TX,202512  ,25172,25389,25133,25233,120,0.48%,49,-,-,25298,25308,25389,16873,,盤後,,
2025/09/11,TX,202603  ,25268,25354,25120,25126,64,0.26%,55,25137,336,25134,25140,25354,17068,,一般,,
2025/09/11,TX,202603  ,25084,25318,25084,25302,240,0.96%,34,-,-,25245,25259,25318,17068,,盤後,,
2025/09/11,TX,202606  ,25235,25279,25073,25073,60,0.24%,6,25098,64,25082,25114,25279,20819,,一般,,
2025/09/11,TX,202606  ,25141,25267,25129,25267,254,1.02%,4,-,-,25190,25228,25267,20819,,盤後,,
2025/09/12,TX,202509  ,25418,25466,25350,25459,226,0.90%,55444,25458,73194,25463,25466,25475,16850,,一般,,
2025/09/12,TX,202509  ,25259,25446,25255,25409,176,0.70%,39455,-,-,25400,25410,25475,16850,,盤後,,
2025/09/12,TX,202510  ,25409,25475,25359,25475,250,0.99%,8427,25469,12614,25472,25476,25475,22803,,一般,,
2025/09/12,TX,202510  ,25250,25435,25250,25393,168,0.67%,1228,-,-,25390,25400,25453,22803,,盤後,,
2025/09/12,TX,202511  ,25410,25463,25384,25462,234,0.93%,35,25462,167,25469,25477,25463,23736,,一般,,
2025/09/12,TX,202511  ,25235,25435,25235,25405,177,0.70%,72,-,-,25391,25407,25440,23736,,盤後,,
2025/09/12,TX,202512  ,25406,25437,25337,25437,242,0.96%,76,25437,1017,25438,25442,25437,16873,,一般,,
2025/09/12,TX,202512  ,25229,25397,25229,25396,201,0.80%,24,-,-,25361,25377,25399,16873,,盤後,,
2025/09/12,TX,202603  ,25320,25370,25320,25360,223,0.89%,67,25377,341,25375,25379,25370,17068,,一般,,
2025/09/12,TX,202603  ,25210,25296,25210,25260,123,0.49%,6,-,-,25306,25322,25354,17068,,盤後,,
2025/09/12,TX,202606  ,-,-,-,-,-,-,0,25349,63,25328,25370,25279,20819,,一般,,
2025/09/12,TX,202606  ,25178,25178,25178,25178,80,0.32%,1,-,-,25253,25295,25279,20819,,盤後,,
2025/09/15,TX,202509  ,25404,25450,25269,25353,-105,-0.41%,89375,25347,40730,25350,25353,25475,16850,,一般,,
2025/09/15,TX,202509  ,25428,25439,25319,25378,-80,-0.31%,29673,-,-,25376,25383,25475,16850,,盤後,,
2025/09/15,TX,202510  ,25434,25466,25283,25361,-108,-0.42%,40286,25358,40054,25360,25363,25475,22803,,一般,,
2025/09/15,TX,202510  ,25455,25455,25338,25399,-70,-0.27%,1944,-,-,25396,25399,25475,22803,,盤後,,
2025/09/15,TX,202511  ,25442,25467,25325,25365,-97,-0.38%,42,25365,174,25367,25373,25467,23736,,一般,,
2025/09/15,TX,202511  ,25440,25441,25370,25428,-34,-0.13%,56,-,-,25399,25411,25463,23736,,盤後,,
2025/09/15,TX,202512  ,25429,25430,25266,25329,-108,-0.42%,34,25341,990,25338,25345,25437,16873,,一般,,
2025/09/15,TX,202512  ,25358,25397,25308,25373,-64,-0.25%,6,-,-,25366,25391,25437,16873,,盤後,,
2025/09/15,TX,202603  ,25348,25348,25190,25251,-126,-0.50%,105,25264,388,25261,25267,25370,17068,,一般,,
2025/09/15,TX,202603  ,25282,25332,25250,25301,-76,-0.30%,43,-,-,25293,25301,25370,17068,,盤後,,
2025/09/15,TX,202606  ,25288,25288,25288,25288,-61,-0.24%,2,25253,65,25238,25268,25299,20819,,一般,,
2025/09/15,TX,202606  ,25299,25299,25299,25299,-50,-0.20%,2,-,-,25268,25287,25299,20819,,盤後,,
2025/09/16,TX,202509  ,25420,25663,25410,25629,282,1.11%,76338,25625,20444,25628,25630,25663,16850,,一般,,
2025/09/16,TX,202509  ,25371,25449,25284,25428,81,0.32%,26734,-,-,25421,25428,25475,16850,,盤後,,
2025/09/16,TX,202510  ,25439,25665,25416,25639,281,1.11%,39771,25635,60971,25637,25640,25665,22803,,一般,,
2025/09/16,TX,202510  ,25364,25448,25299,25428,70,0.28%,3885,-,-,25424,25432,25475,22803,,盤後,,
2025/09/16,TX,202511  ,25427,25650,25424,25615,250,0.99%,195,25628,272,25624,25632,25650,23736,,一般,,
2025/09/16,TX,202511  ,25370,25451,25330,25430,65,0.26%,36,-,-,25422,25430,25467,23736,,盤後,,
2025/09/16,TX,202512  ,25438,25614,25438,25597,256,1.01%,143,25595,987,25590,25598,25614,16873,,一般,,
2025/09/16,TX,202512  ,25351,25397,25324,25397,56,0.22%,17,-,-,25396,25407,25437,16873,,盤後,,
2025/09/16,TX,202603  ,25337,25545,25337,25528,264,1.04%,56,25528,419,25536,25544,25545,17068,,一般,,
2025/09/16,TX,202603  ,25234,25349,25215,25331,67,0.27%,11,-,-,25324,25338,25370,17068,,盤後,,
2025/09/16,TX,202606  ,25397,25496,25388,25496,243,0.96%,6,25496,68,25488,25523,25496,20819,,一般,,
2025/09/16,TX,202606  ,-,-,-,-,-,-,0,-,-,25302,25327,25299,20819,,盤後,,
2025/09/17,TX,202509  ,25556,25583,25402,25433,-192,-0.75%,33006,0,10054,25433,25434,25663,16850,,一般,,
2025/09/17,TX,202509  ,25620,25649,25504,25554,-71,-0.28%,28457,-,-,25554,25558,25663,16850,,盤後,,
